study_id	efo_trait	reported_trait	initial_sample	replication_sample	snp_count	publication_date	pubmed_id	title	publication
GCST005811	osteoarthritis	Osteoarthritis (self-reported)	12,658 European ancestry cases, 50,898 European ancestry controls	NA	16499239	2018-03-20	29559693	Genome-wide analyses using UK Biobank data provide insights into the genetic architecture of osteoarthritis.	Nat Genet
GCST006098	physical activity measurement	Vigorous physical activity	98,060 European ancestry active cases, 162,995 European ancestry inactive controls	NA	11800000	2018-06-13	29899525	Genome-wide association study of habitual physical activity in over 377,000 UK Biobank participants identifies multiple variants including CADM2 and APOE.	Int J Obes (Lond)
GCST006366	central corneal thickness	Central corneal thickness	17,803 European ancestry individuals	NA	NA	2018-05-14	29760442	Cross-ancestry genome-wide association analysis of corneal thickness strengthens link between complex and Mendelian eye diseases.	Nat Commun
GCST006465	endometrial carcinoma	Endometrial cancer (endometrioid histology)	8,758 European ancestry cases, 46,126 European ancestry controls	NA	11700000	2018-08-09	30093612	Identification of nine new susceptibility loci for endometrial cancer.	Nat Commun
GCST006956	erectile dysfunction	Erectile dysfunction	6,175 European ancestry male cases, 217,630 European ancestry male controls	NA	  807411	2018-12-21	30583798	GWAS Identifies Risk Locus for Erectile Dysfunction and Implicates Hypothalamic Neurobiology and Diabetes in Etiology.	Am J Hum Genet
GCST006979	heel bone mineral density	Heel bone mineral density	426,824 British ancestry individuals	NA	13737936	2018-12-31	30598549	An atlas of genetic influences on osteoporosis in humans and mice.	Nat Genet
GCST008403	arterial stiffness measurement	Arterial stiffness index	127,121 European ancestry individuals	NA	10446505	2019-06-24	31235810	Genome-wide association study identifies loci for arterial stiffness index in 127,121 UK Biobank participants.	Sci Rep
GCST010777	COVID-19	COVID-19 (hospitalized vs population) RELEASE 4	6,406 European ancestry cases, 902,088 European ancestry controls	NA	15392647	2020-05-13	32404885	The COVID-19 Host Genetics Initiative, a global initiative to elucidate the role of host genetic factors in susceptibility and severity of the SARS-CoV-2 virus pandemic.	Eur J Hum Genet
GCST90000026	appendicular lean mass	Appendicular lean mass	205,513 European ancestry men	NA	18391927	2020-10-23	33097823	The genetic architecture of appendicular lean mass characterized by association analysis in the UK Biobank study.	Commun Biol
GCST90000050	age at first birth measurement	Age at first birth	542,901 European ancestry individuals	NA	 9744772	2021-07-01	34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Nat Hum Behav
GCST90000512	frozen shoulder	Frozen shoulder	451,099 European ancestry individuals	NA	 8274682	2021-06-10	34111113	A genome-wide association study identifies 5 loci associated with frozen shoulder and implicates diabetes as a causal risk factor.	PLoS Genet
GCST90002227	glucose tolerance test	Two-hour glucose	63,396 European ancestry individuals	NA	30098705	2021-05-31	34059833	The trans-ancestral genomic architecture of glycemic traits.	Nat Genet
GCST90002380	basophil percentage of leukocytes	Basophil percentage of white cells	408,112 British individuals	NA	93095623	2020-09-01	32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Cell
GCST90002386	reticulocyte measurement	High light scatter reticulocyte percentage of red cells	408,112 British individuals	NA	93095623	2020-09-01	32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Cell
GCST90002389	lymphocyte percentage of leukocytes	Lymphocyte percentage of white cells	408,112 British individuals	NA	93095623	2020-09-01	32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Cell
GCST90002400	platelet crit	Plateletcrit	408,112 British individuals	NA	93095623	2020-09-01	32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Cell
GCST90002403	erythrocyte count	Red blood cell count	408,112 British individuals	NA	93095623	2020-09-01	32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Cell
GCST90007530	grip strength measurement	Low hand grip strength (60 years and older) (FNIH)	13,601 European ancestry female cases, 121,867 European ancestry female controls	NA	 9431325	2021-01-28	33510174	Genome-wide meta-analysis of muscle weakness identifies 15 susceptibility loci in older men and women.	Nat Commun
GCST90011818	kidney cancer	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	 7846216	2020-09-04	32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Nat Commun
GCST90012110	sex hormone-binding globulin measurement	Sex hormone-binding globulin levels adjusted for BMI	368,929 European ancestry individuals	NA	16582909	2020-02-10	32042192	Using human genetics to understand the disease impacts of testosterone in men and women.	Nat Med
GCST90013410	basal cell carcinoma	Basal cell carcinoma	17,416 European ancestry cases, 375,455 European ancestry controls	NA	 7260263	2021-02-06	33549134	Genetic and functional interaction network analysis reveals global enrichment of regulatory T cell genes influencing basal cell carcinoma susceptibility.	Genome Med
GCST90013875	irritability	Irritability (UKB data field 1940) (Firth correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013891	type 1 diabetes mellitus	Type 1 diabetes (Firth correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013898	soft tissue disease	Muscle or soft tissue problem (Firth correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013903	cystitis	Cystitis (Firth correction)	381,591 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013905	macular degeneration	Macular degeneration (Firth correction)	403,837 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
