study_id	efo_trait	reported_trait	initial_sample	replication_sample	snp_count	publication_date	pubmed_id	title	publication
GCST90044313	social environment measurement	How are people in household related to participant: Other unrelated (UKB data field 6141_8)	8,054 European ancestry cases, 445,392 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044312	social environment measurement	How are people in household related to participant: Other related (UKB data field 6141_7)	2,595 European ancestry cases, 450,851 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044311	social environment measurement	How are people in household related to participant: Grandchild (UKB data field 6141_6)	3,724 European ancestry cases, 449,722 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044310	social environment measurement	How are people in household related to participant: Grandparent (UKB data field 6141_5)	124 European ancestry cases, 453,322 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044309	social environment measurement	How are people in household related to participant: Mother and/or father (UKB data field 6141_4)	8,242 European ancestry cases, 445,204 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044308	social environment measurement	How are people in household related to participant: Son and/or daughter (include step-children) (UKB data field 6141_2)	153,215 European ancestry cases, 300,231 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044307	social environment measurement	How are people in household related to participant: Husband, wife or partner (UKB data field 6141_1)	333,559 European ancestry cases, 119,887 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042717	social environment measurement	Home area population density - urban or rural: England/Wales - Hamlet and Isolated Dwelling - less sparse (UKB data field 20118_8)	9,753 European ancestry cases, 442,151 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042716	social environment measurement	Home area population density - urban or rural: England/Wales - Village - less sparse (UKB data field 20118_7)	22,265 European ancestry cases, 429,639 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042715	social environment measurement	Home area population density - urban or rural: England/Wales - Town and Fringe - less sparse (UKB data field 20118_6)	31,418 European ancestry cases, 420,486 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042714	social environment measurement	Home area population density - urban or rural: England/Wales - Urban - less sparse (UKB data field 20118_5)	354,804 European ancestry cases, 97,100 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042713	social environment measurement	Home area population density - urban or rural: Scotland - Accessible Rural (UKB data field 20118_16)	1,512 European ancestry cases, 450,392 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042712	social environment measurement	Home area population density - urban or rural: Scotland - Accessible Small Town (UKB data field 20118_13)	1,333 European ancestry cases, 450,571 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042711	social environment measurement	Home area population density - urban or rural: Scotland - Other Urban Area (UKB data field 20118_12)	4,903 European ancestry cases, 447,001 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042710	social environment measurement	Home area population density - urban or rural: Scotland - Large Urban Area (UKB data field 20118_11)	25,864 European ancestry cases, 426,040 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041842	social environment measurement	Adopted as a child (UKB data field 1767)	6,522 European ancestry cases, 448,808 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041823	social environment measurement	Breastfed as a baby (UKB data field 1677)	247,160 European ancestry cases, 99,661 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90016592	smoking status measurement/chronic obstructive pulmonary disease	Chronic obstructive pulmonary disease x current smoker interaction (1df)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	9886854	2020-10-27	33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Am J Epidemiol
GCST90016587	chronic obstructive pulmonary disease/smoking status measurement	Chronic obstructive pulmonary disease x ever smoker interaction (1df)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	9886854	2020-10-27	33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Am J Epidemiol
GCST90041775	snoring measurement	Snoring (UKB data field 1210)	266,211 European ancestry cases, 158,178 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST009760	snoring measurement	Snoring	152,302 British ancestry cases, 256,015 British ancestry controls	NA	11010159	2020-02-14	32060260	Insights into the aetiology of snoring from observational and genetic investigations in the UK Biobank.	Nat Commun
GCST009763	snoring measurement	Snoring	61,792 British ancestry female cases, 156,554 British ancestry female controls	NA	11010159	2020-02-14	32060260	Insights into the aetiology of snoring from observational and genetic investigations in the UK Biobank.	Nat Commun
GCST009762	snoring measurement	Snoring	90,806 British ancestry male cases, 99,165 British ancestry male controls	NA	11010159	2020-02-14	32060260	Insights into the aetiology of snoring from observational and genetic investigations in the UK Biobank.	Nat Commun
GCST009761	snoring measurement	Snoring	151,836 British ancestry cases, 255,230 British ancestry controls	NA	11010159	2020-02-14	32060260	Insights into the aetiology of snoring from observational and genetic investigations in the UK Biobank.	Nat Commun
GCST90029029	chronotype measurement	Morning person	452,896 European ancestry individuals	NA	12007187	2018-07-01	29892013	Mixed-model association for biobank-scale datasets.	Nat Genet
